,Name,Address,Phone,Link
0,Venkateshwara Tent House,"
S B, M road, 14 g, Uttarahalli Main Rd, Vajpayee Nagar, KSRTC Layout, Chikkalasandra, Bengaluru, Karnataka 560061","
095381 15489",https://www.google.com/maps/place/Venkateshwara+Tent+House/data=!4m7!3m6!1s0x3bae3fcf90e60243:0xa3b8a918e2cb487a!8m2!3d12.9094923!4d77.548538!16s%2Fg%2F11cs1tl2wy!19sChIJQwLmkM8_rjsRekjL4hipuKM?authuser=0&hl=en&rclk=1
1,Dream Tent House and Decoration in Bangalore-karnataka,"
2, 6th Cross, L.R Bande, Shampura Main Rd, Adarsha Nagar, Post, RT Nagar, Bengaluru, Karnataka 560032","
096069 95126",https://www.google.com/maps/place/Dream+Tent+House+and+Decoration+in+Bangalore-karnataka/data=!4m7!3m6!1s0x3bae17d814747f5d:0xb7d39008b51ca2ba!8m2!3d13.0298708!4d77.6085001!16s%2Fg%2F11whlkgwl4!19sChIJXX90FNgXrjsRuqIctQiQ07c?authuser=0&hl=en&rclk=1
2,Sri Subrahmanya Shamiyana (Tent House),"
#62 12th cross, 5th Main Rd, Wilson Garden, Bengaluru, Karnataka 560030","
093437 29584",https://www.google.com/maps/place/Sri+Subrahmanya+Shamiyana+%28Tent+House%29/data=!4m7!3m6!1s0x3bae15c85566cb79:0x7fd2008326eb3a09!8m2!3d12.9481385!4d77.5992841!16s%2Fg%2F11c47689l7!19sChIJectmVcgVrjsRCTrrJoMA0n8?authuser=0&hl=en&rclk=1
3,Vivek Tent House,"
Shop No 1, Arekere Main Rd, opp. to Sai Baba Temple Road, Indira Gandhi Housing Colony, Arekere, Bengaluru, Karnataka 560076","
089510 77716",https://www.google.com/maps/place/Vivek+Tent+House/data=!4m7!3m6!1s0x3bae15fb557325cd:0x971c3bb0472e9c2d!8m2!3d12.8832872!4d77.6092154!16s%2Fg%2F11hdngms4k!19sChIJzSVzVfsVrjsRLZwuR7A7HJc?authuser=0&hl=en&rclk=1
4,MRK TENT HOUSE,"
99, Ground floor, Next Life line Chicken, Hennur Bagalur Main Rd, opp. to STAR Market, opp. Cult fit, Geddalahalli, Bengaluru, Karnataka 560077","
086180 27430",https://www.google.com/maps/place/MRK+TENT+HOUSE/data=!4m7!3m6!1s0x3bae1717162e79d5:0x1479d144bf214af3!8m2!3d13.0490409!4d77.64539!16s%2Fg%2F11t1j936nj!19sChIJ1XkuFhcXrjsR80ohv0TReRQ?authuser=0&hl=en&rclk=1
5,Karnataka tent house,"
137, 8th Cross, Munnekollal Main Rd, Marathahalli, Bengaluru, Karnataka 560037","
073376 69509",https://www.google.com/maps/place/Karnataka+tent+house/data=!4m7!3m6!1s0x3bae1249d0d6be23:0xe007261fc9aced1f!8m2!3d12.949686!4d77.707515!16s%2Fg%2F11c1wyjdvw!19sChIJI77W0EkSrjsRH-2syR8mB-A?authuser=0&hl=en&rclk=1
6,TGM Tents On Rent,"
41, TGMS Solitaire, 1st Main, Kalkere Main Road, Ramamurthy Nagar, Bengaluru, Karnataka 560016","
097391 76845",https://www.google.com/maps/place/TGM+Tents+On+Rent/data=!4m7!3m6!1s0x3bae10e7fc81148b:0xe9c6b06fcafec986!8m2!3d13.0154472!4d77.6787237!16s%2Fg%2F1tg6nklq!19sChIJixSB_OcQrjsRhsn-ym-wxuk?authuser=0&hl=en&rclk=1
7,SBS Bharath Tent House,"
608, 5th Main Rd, opposite to Aqsa Masjid, 6th Cross, Sector 6, HSR Layout, Bengaluru, Karnataka 560102","
090666 67541",https://www.google.com/maps/place/SBS+Bharath+Tent+House/data=!4m7!3m6!1s0x3bae15b8caf504ad:0x9cf136883553b3da!8m2!3d12.9139012!4d77.6324563!16s%2Fg%2F11tdqfk7h_!19sChIJrQT1yrgVrjsR2rNTNYg28Zw?authuser=0&hl=en&rclk=1
8,MS Tent House,"
No. 21, 13th Cross Road, 1st main cross, jagdish nagar, Nelluru Puram, Kaggadasapura, Bengaluru, Karnataka 560017","
096203 80293",https://www.google.com/maps/place/MS+Tent+House/data=!4m7!3m6!1s0x3bae13fd1e7da341:0x359ec2b033aeceec!8m2!3d12.9682168!4d77.6634371!16s%2Fg%2F11c1pldtxm!19sChIJQaN9Hv0TrjsR7M6uM7DCnjU?authuser=0&hl=en&rclk=1
9,Ahmed Tent House,"
No 5/3, Immadihalli Main Rd, near K.E.B, Hagadur Colony, Vinayaka Layout, Whitefield, Bengaluru, Karnataka 560066","
090367 52469",https://www.google.com/maps/place/Ahmed+Tent+House/data=!4m7!3m6!1s0x3bae0dfb7d1eb03d:0x536f78154bc03e30!8m2!3d12.9690196!4d77.7543978!16s%2Fg%2F11c5s5l0rr!19sChIJPbAeffsNrjsRMD7ASxV4b1M?authuser=0&hl=en&rclk=1
